q_c_seed,lambda_1,lambda_2,lambda_3,aa,tau,cdist,ci_prob_mean,mse
3,0.2,0.5,1,1.2,0,0.002250909,0.719296464,0.024348399
3,0.2,1,1,1.2,0,0.002250909,0.719296464,0.024348399
3,0.2,1.5,1,1.2,0,0.002250909,0.719296464,0.024348399
3,0.2,2,1,1.2,0,0.002250909,0.719296464,0.024348399
3,0.2,0,1,1.2,0,0.002250909,0.719296464,0.024348399
3,0.2,0,2,1.2,0,0.002251706,0.719293425,0.024355804
3,0.2,2,1.5,1.2,0,0.002252935,0.719290981,0.024362904
3,0.2,1,0.5,1.2,0,0.002255187,0.719283946,0.02438175
3,0.2,0,0.5,1.2,0,0.002255187,0.719283946,0.02438175
3,0.2,0.5,0.5,1.2,0,0.002255187,0.719283946,0.02438175
3,0.2,1.5,0.5,1.2,0,0.002255187,0.719283946,0.02438175
3,0.2,2,0.5,1.2,0,0.00225578,0.71928288,0.024385126
3,0.2,0,1.5,1.2,0,0.002256007,0.719279326,0.024393443
3,0.2,0.5,1.5,1.2,0,0.002256007,0.719279326,0.024393443
3,0.2,1,1.5,1.2,0,0.002256007,0.719279326,0.024393443
3,0.2,1.5,1.5,1.2,0,0.002256007,0.719279326,0.024393443
3,0.2,0,0,1.2,0,0.002259438,0.71927154,0.024415712
3,0.2,1.5,0,1.2,0,0.002259438,0.71927154,0.024415712
3,0.2,2,0,1.2,0,0.002259438,0.71927154,0.024415712
3,0.2,0.5,0,1.2,0,0.002259438,0.71927154,0.024415712
3,0.2,1,0,1.2,0,0.002259438,0.71927154,0.024415712
3,0.1,0,2,1.2,0,0.00298088,0.71743144,0.028366527
3,0.1,2,1.5,1.2,0,0.002981897,0.717428389,0.028376013
3,0.1,0,1.5,1.2,0,0.00298307,0.717424466,0.028388072
3,0.1,1,1.5,1.2,0,0.00298307,0.717424466,0.028388072
3,0.1,0.5,1.5,1.2,0,0.00298307,0.717424466,0.028388072
3,0.1,1.5,1.5,1.2,0,0.00298307,0.717424466,0.028388072
3,0.1,0.5,1,1.2,0,0.002986444,0.717412418,0.02841821
3,0.1,0,1,1.2,0,0.002986444,0.717412418,0.02841821
3,0.1,1,1,1.2,0,0.002986444,0.717412418,0.02841821
3,0.1,1.5,1,1.2,0,0.002986444,0.717412418,0.02841821
3,0.1,2,0.5,1.2,0,0.002989562,0.717401319,0.028447821
3,0.1,2,1,1.2,0,0.002989676,0.717400557,0.028449498
3,0.1,0.5,0.5,1.2,0,0.002989754,0.717400858,0.028449639
3,0.1,1,0.5,1.2,0,0.002989754,0.717400858,0.028449639
3,0.1,1.5,0.5,1.2,0,0.002989754,0.717400858,0.028449639
3,0.1,0,0.5,1.2,0,0.002989754,0.717400858,0.028449639
3,0.1,0.5,0,1.2,0,0.002991049,0.71739646,0.028566734
3,0.1,1,0,1.2,0,0.002991049,0.71739646,0.028566734
3,0.1,2,0,1.2,0,0.002991049,0.71739646,0.028566734
3,0.1,0,0,1.2,0,0.002991049,0.71739646,0.028566734
3,0.1,1.5,0,1.2,0,0.002991049,0.71739646,0.028566734
