q_c_seed,aa,tau,l1,l2,l3,cdist,ci_prob_mean,mse,sc
1,1.2,0,0.3,0.3,0.1,0.7178931327909992,0.8124784501823206,0.7211533975740728,0.7181909547738693
2,1.2,0,0.3,0.3,0.1,1.3326961376057336,0.81359660081511,0.705508211608818,0.7236683417085427
3,1.2,0,0.3,0.3,0.1,1.5695621124986614,0.8071901927022391,0.8070317304318039,0.707286432160804
1,1.2,0,0.3,0.3,0.1,0.791538568306381,0.8166105772509967,0.6852497690189282,0.7290954773869347
2,1.2,0,0.3,0.3,0.1,1.013113359879029,0.8303276369941663,1.0572595429910419,0.7071859296482412
3,1.2,0,0.3,0.3,0.1,0.6744974710985657,0.8070061075571783,0.8729179941854585,0.7553768844221106
4,1.2,0,0.3,0.3,0.1,0.27584792520563806,0.7962066528989676,0.5767191085728253,0.7999497487437186
5,1.2,0,0.3,0.3,0.1,1.4778101448116747,0.7961246227120669,0.7429640970058662,0.7521608040201005
1,1.2,0,0.3,0.4,0.1,0.791538568306381,0.8166105772509967,0.6852497690189282,0.7290954773869347
2,1.2,0,0.3,0.4,0.1,1.013113359879029,0.8303276369941663,1.0572595429910419,0.7071859296482412
3,1.2,0,0.3,0.4,0.1,0.6744974710985657,0.8070061075571783,0.8729179941854585,0.7553768844221106
4,1.2,0,0.3,0.4,0.1,0.27584792520563806,0.7962066528989676,0.5767191085728253,0.7999497487437186
5,1.2,0,0.3,0.4,0.1,1.4778101448116747,0.7961246227120669,0.7429640970058662,0.7521608040201005
1,1.2,0,0.3,0.5,0.1,0.791538568306381,0.8166105772509967,0.6852497690189282,0.7290954773869347
2,1.2,0,0.3,0.5,0.1,1.013113359879029,0.8303276369941663,1.0572595429910419,0.7071859296482412
3,1.2,0,0.3,0.5,0.1,0.6744974710985657,0.8070061075571783,0.8729179941854585,0.7553768844221106
4,1.2,0,0.3,0.5,0.1,0.27584792520563806,0.7962066528989676,0.5767191085728253,0.7999497487437186
5,1.2,0,0.3,0.5,0.1,1.4778101448116747,0.7961246227120669,0.7429640970058662,0.7521608040201005
1,1.2,0,0.3,0.3,0.2,0.791538568306381,0.8166105772509967,0.6852497690189282,0.7290954773869347
2,1.2,0,0.3,0.3,0.2,1.013113359879029,0.8303276369941663,1.0572595429910419,0.7071859296482412
3,1.2,0,0.3,0.3,0.2,0.674499945707379,0.8070065645539972,0.8729170187639798,0.7553768844221106
4,1.2,0,0.3,0.3,0.2,0.2758479252056225,0.7962066528989353,0.5767191085728284,0.7999497487437186
5,1.2,0,0.3,0.3,0.2,1.4778107860532999,0.7961248311020508,0.742963092100747,0.7521608040201005
1,1.2,0,0.3,0.4,0.2,0.791538568306381,0.8166105772509967,0.6852497690189282,0.7290954773869347
2,1.2,0,0.3,0.4,0.2,1.013113359879029,0.8303276369941663,1.0572595429910419,0.7071859296482412
3,1.2,0,0.3,0.4,0.2,0.674499945707379,0.8070065645539972,0.8729170187639798,0.7553768844221106
4,1.2,0,0.3,0.4,0.2,0.2758479252056225,0.7962066528989353,0.5767191085728284,0.7999497487437186
5,1.2,0,0.3,0.4,0.2,1.4778107860532999,0.7961248311020508,0.742963092100747,0.7521608040201005
1,1.2,0,0.3,0.5,0.2,0.791538568306381,0.8166105772509967,0.6852497690189282,0.7290954773869347
2,1.2,0,0.3,0.5,0.2,1.013113359879029,0.8303276369941663,1.0572595429910419,0.7071859296482412
3,1.2,0,0.3,0.5,0.2,0.674499945707379,0.8070065645539972,0.8729170187639798,0.7553768844221106
4,1.2,0,0.3,0.5,0.2,0.2758479252056225,0.7962066528989353,0.5767191085728284,0.7999497487437186
5,1.2,0,0.3,0.5,0.2,1.4778107860532999,0.7961248311020508,0.742963092100747,0.7521608040201005
