q_c_seed,aa,tau,l1,l2,l3,cdist,ci_prob_mean,mse,sc
1,1.2,0,0.3,0.1,0.1,1.2794673541563417,0.8353872398836282,0.7535083591755106,0.7218090452261307
1,1.2,0,0.3,0.2,0.1,1.2794673541563417,0.8353872398836282,0.7535083591755106,0.7218090452261307
1,1.2,0,0.3,0.5,0.1,1.2794673541563417,0.8353872398836282,0.7535083591755106,0.7218090452261307
1,1.2,0,0.3,1,0.1,1.2794673541563417,0.8353872398836282,0.7535083591755106,0.7218090452261307
1,1.2,0,0.3,5,0.1,1.2796355805703943,0.8353972184807269,0.7534879736282581,0.7218090452261307
1,1.2,0,0.3,0.1,0.2,1.2794673541563417,0.8353872398836282,0.7535083591755106,0.7218090452261307
1,1.2,0,0.3,0.2,0.2,1.2794673541563417,0.8353872398836282,0.7535083591755106,0.7218090452261307
1,1.2,0,0.3,0.5,0.2,1.2794673541563417,0.8353872398836282,0.7535083591755106,0.7218090452261307
1,1.2,0,0.3,1,0.2,1.2794673541563417,0.8353872398836282,0.7535083591755106,0.7218090452261307
1,1.2,0,0.3,5,0.2,1.2796355805703943,0.8353972184807269,0.7534879736282581,0.7218090452261307
1,1.2,0,0.3,0.1,0.5,1.2794673541563417,0.8353872398836282,0.7535083591755106,0.7218090452261307
1,1.2,0,0.3,0.2,0.5,1.2794673541563417,0.8353872398836282,0.7535083591755106,0.7218090452261307
1,1.2,0,0.3,0.5,0.5,1.2794673541563417,0.8353872398836282,0.7535083591755106,0.7218090452261307
1,1.2,0,0.3,1,0.5,1.2794673541563417,0.8353872398836282,0.7535083591755106,0.7218090452261307
1,1.2,0,0.3,5,0.5,1.2796355805703943,0.8353972184807269,0.7534879736282581,0.7218090452261307
1,1.2,0,0.3,0.1,1,1.2794673541565948,0.8353872398836489,0.7535083591754832,0.7218090452261307
1,1.2,0,0.3,0.2,1,1.2794673541565948,0.8353872398836489,0.7535083591754832,0.7218090452261307
1,1.2,0,0.3,0.5,1,1.2794673541551262,0.8353872398835219,0.753508359175646,0.7218090452261307
1,1.2,0,0.3,1,1,1.2794673541563417,0.8353872398836282,0.7535083591755106,0.7218090452261307
1,1.2,0,0.3,5,1,1.2796355805703943,0.8353972184807269,0.7534879736282581,0.7218090452261307
1,1.2,0,0.3,0.1,5,1.272615196082475,0.8352855134051229,0.7537607384940556,0.7218090452261307
1,1.2,0,0.3,0.2,5,1.272615196082475,0.8352855134051229,0.7537607384940556,0.7218090452261307
1,1.2,0,0.3,0.5,5,1.2726151960824752,0.8352855134051229,0.7537607384940553,0.7218090452261307
1,1.2,0,0.3,1,5,1.272615196083362,0.8352855134052058,0.7537607384939466,0.7218090452261307
1,1.2,0,0.3,5,5,1.2748089435400953,0.8353634089630343,0.7535902535576142,0.7218090452261307
1,1.2,0.3,0.3,0.1,0.1,0.0838188163563277,0.7486793389252865,0.3330778488170361,0.8181407035175879
1,1.2,0.3,0.3,0.2,0.1,0.0838188163563277,0.7486793389252865,0.3330778488170361,0.8181407035175879
1,1.2,0.3,0.3,0.5,0.1,0.0838188163563277,0.7486793389252865,0.3330778488170361,0.8181407035175879
