dt_seed,q_c_seed,aa,tau,l1,l2,l3,cdist,ci_prob_mean,mse,sc
0.012334099,999,999,999,999,999,999,0.012334099,999,999,0.857638191
0.012278085,999,999,999,999,999,999,0.012278085,999,999,0.857638191
0.012198367,999,999,999,999,999,999,0.012198367,999,999,0.857638191
1.00987691,999,999,999,999,999,999,1.00987691,999,999,0.758040201
0.720336061,999,999,999,999,999,999,0.720336061,999,999,0.760201005
0.012949653,999,999,999,999,999,999,0.012949653,999,999,0.843969849
1.1878634,999,999,999,999,999,999,1.1878634,999,999,0.753316583
0.01294935,999,999,999,999,999,999,0.01294935,999,999,0.843969849
1.243492492,999,999,999,999,999,999,1.243492492,999,999,0.765075377
0.012307744,999,999,999,999,999,999,0.012307744,999,999,0.857638191
9,1,1.2,0.5,0.3,0.1,1,0.005444971,0.716216358,0.203154101,0.834422111
9,2,1.2,0.5,0.3,0.1,1,0.0054447,0.716220325,0.203146281,0.834422111
9,3,1.2,0.5,0.3,0.1,1,0.005445831,0.716222236,0.2031495,0.834422111
9,4,1.2,0.5,0.3,0.1,1,0.999409437,0.80835394,0.821166187,0.761457286
9,5,1.2,0.5,0.3,0.1,1,0.603795422,0.777152955,0.805136422,0.731658291
9,6,1.2,0.5,0.3,0.1,1,0.005446863,0.716214837,0.203171507,0.834422111
9,7,1.2,0.5,0.3,0.1,1,1.206479903,0.737507062,0.901964259,0.742763819
9,8,1.2,0.5,0.3,0.1,1,0.005444021,0.716223073,0.203143046,0.834422111
9,9,1.2,0.5,0.3,0.1,1,1.204790547,0.793775277,0.866381502,0.766934673
9,10,1.2,0.5,0.3,0.1,1,0.005444171,0.716216342,0.203164957,0.834422111
9,1,1.2,0.5,0.3,0.2,1,0.005444971,0.716216358,0.203154101,0.834422111
9,2,1.2,0.5,0.3,0.2,1,0.0054447,0.716220325,0.203146281,0.834422111
9,3,1.2,0.5,0.3,0.2,1,0.005445831,0.716222236,0.2031495,0.834422111
9,4,1.2,0.5,0.3,0.2,1,0.999409437,0.80835394,0.821166187,0.761457286
9,5,1.2,0.5,0.3,0.2,1,0.603795422,0.777152955,0.805136422,0.731658291
9,6,1.2,0.5,0.3,0.2,1,0.005446863,0.716214837,0.203171507,0.834422111
9,7,1.2,0.5,0.3,0.2,1,1.206480372,0.736815725,0.901964539,0.742763819
9,8,1.2,0.5,0.3,0.2,1,0.005444021,0.716223073,0.203143046,0.834422111
9,9,1.2,0.5,0.3,0.2,1,1.204790547,0.793775277,0.866381502,0.766934673
9,10,1.2,0.5,0.3,0.2,1,0.005444171,0.716216342,0.203164957,0.834422111
9,1,1.2,0.5,0.3,0.5,1,0.005444971,0.716216358,0.203154101,0.834422111
