"q_c_seed","aa","l1","l2","l3","tau","cdist","mse"
"1","1.2","0.1","0","0","1e-04","0.7641668","0.525849"
"2","1.2","0.1","0","0","1e-04","1.071326","0.7870533"
"3","1.2","0.1","0","0","1e-04","0.002991049","0.02856673"
"4","1.2","0.1","0","0","1e-04","1.661766","0.807914"
"5","1.2","0.1","0","0","1e-04","1.21807","0.752584"
"1","1.2","0.2","0","0","1e-04","0.2157586","0.3642209"
"2","1.2","0.2","0","0","1e-04","0.7405856","0.6437614"
"3","1.2","0.2","0","0","1e-04","0.002259438","0.02441571"
"4","1.2","0.2","0","0","1e-04","1.259377","0.9596688"
"5","1.2","0.2","0","0","1e-04","1.138852","0.7854553"
"1","1.2","0.3","0","0","1e-04","0.7915386","0.6852498"
"2","1.2","0.3","0","0","1e-04","1.013113","1.05726"
"3","1.2","0.3","0","0","1e-04","0.6744975","0.872918"
"4","1.2","0.3","0","0","1e-04","0.2758479","0.5767191"
"5","1.2","0.3","0","0","1e-04","1.477809","0.7429647"
"1","1.2","0.4","0","0","1e-04","0.9604113","1.004456"
"2","1.2","0.4","0","0","1e-04","1.279267","1.076486"
"3","1.2","0.4","0","0","1e-04","0.27098","0.5372603"
"4","1.2","0.4","0","0","1e-04","0.2758479","0.5767191"
"5","1.2","0.4","0","0","1e-04","0.7701239","1.089792"
"1","1.2","0.5","0","0","1e-04","0.6184795","0.9018666"
"2","1.2","0.5","0","0","1e-04","1.586169","1.037418"
"3","1.2","0.5","0","0","1e-04","0.06053813","0.3307233"
"4","1.2","0.5","0","0","1e-04","0.5782034","1.139481"
"5","1.2","0.5","0","0","1e-04","0.8062219","1.358621"
"1","1.2","0.1","0.5","0","1e-04","0.7641668","0.525849"
"2","1.2","0.1","0.5","0","1e-04","1.071326","0.7870533"
"3","1.2","0.1","0.5","0","1e-04","0.002991049","0.02856673"
"4","1.2","0.1","0.5","0","1e-04","1.661766","0.807914"
"5","1.2","0.1","0.5","0","1e-04","1.21807","0.752584"
"1","1.2","0.2","0.5","0","1e-04","0.2157586","0.3642209"
"2","1.2","0.2","0.5","0","1e-04","0.7405856","0.6437614"
"3","1.2","0.2","0.5","0","1e-04","0.002259438","0.02441571"
"4","1.2","0.2","0.5","0","1e-04","1.259377","0.9596688"
"5","1.2","0.2","0.5","0","1e-04","1.138852","0.7854553"
"1","1.2","0.3","0.5","0","1e-04","0.7915386","0.6852498"
"2","1.2","0.3","0.5","0","1e-04","1.013113","1.05726"
"3","1.2","0.3","0.5","0","1e-04","0.6744975","0.872918"
"4","1.2","0.3","0.5","0","1e-04","0.2758479","0.5767191"
"5","1.2","0.3","0.5","0","1e-04","1.477809","0.7429647"
"1","1.2","0.4","0.5","0","1e-04","0.9604113","1.004456"
"2","1.2","0.4","0.5","0","1e-04","1.279267","1.076486"
"3","1.2","0.4","0.5","0","1e-04","0.27098","0.5372603"
"4","1.2","0.4","0.5","0","1e-04","0.2758479","0.5767191"
"5","1.2","0.4","0.5","0","1e-04","0.7701239","1.089792"
"1","1.2","0.5","0.5","0","1e-04","0.6184795","0.9018666"
"2","1.2","0.5","0.5","0","1e-04","1.586169","1.037418"
"3","1.2","0.5","0.5","0","1e-04","0.06053813","0.3307233"
"4","1.2","0.5","0.5","0","1e-04","0.5782034","1.139481"
"5","1.2","0.5","0.5","0","1e-04","0.8062219","1.358621"
"1","1.2","0.1","1","0","1e-04","0.7641668","0.525849"
"2","1.2","0.1","1","0","1e-04","1.071326","0.7870533"
"3","1.2","0.1","1","0","1e-04","0.002991049","0.02856673"
"4","1.2","0.1","1","0","1e-04","1.661766","0.807914"
"5","1.2","0.1","1","0","1e-04","1.21807","0.752584"
"1","1.2","0.2","1","0","1e-04","0.2157586","0.3642209"
"2","1.2","0.2","1","0","1e-04","0.7405856","0.6437614"
"3","1.2","0.2","1","0","1e-04","0.002259438","0.02441571"
"4","1.2","0.2","1","0","1e-04","1.259377","0.9596688"
"5","1.2","0.2","1","0","1e-04","1.138852","0.7854553"
"1","1.2","0.3","1","0","1e-04","0.7915386","0.6852498"
"2","1.2","0.3","1","0","1e-04","1.013113","1.05726"
"3","1.2","0.3","1","0","1e-04","0.6744976","0.872918"
"4","1.2","0.3","1","0","1e-04","0.2758479","0.5767191"
"5","1.2","0.3","1","0","1e-04","1.477809","0.7429647"
"1","1.2","0.4","1","0","1e-04","0.9604113","1.004456"
"2","1.2","0.4","1","0","1e-04","1.279267","1.076486"
"3","1.2","0.4","1","0","1e-04","0.27098","0.5372603"
"4","1.2","0.4","1","0","1e-04","0.2758479","0.5767191"
"5","1.2","0.4","1","0","1e-04","0.7701239","1.089792"
"1","1.2","0.5","1","0","1e-04","0.6184795","0.9018666"
"2","1.2","0.5","1","0","1e-04","1.586169","1.037418"
"3","1.2","0.5","1","0","1e-04","0.06053813","0.3307233"
"4","1.2","0.5","1","0","1e-04","1.21181","1.384554"
"5","1.2","0.5","1","0","1e-04","0.8062219","1.358621"
"1","1.2","0.1","1.5","0","1e-04","0.7641668","0.525849"
"2","1.2","0.1","1.5","0","1e-04","1.071326","0.7870533"
"3","1.2","0.1","1.5","0","1e-04","0.002991049","0.02856673"
"4","1.2","0.1","1.5","0","1e-04","1.661766","0.807914"
"5","1.2","0.1","1.5","0","1e-04","1.21807","0.752584"
"1","1.2","0.2","1.5","0","1e-04","0.2157586","0.3642209"
"2","1.2","0.2","1.5","0","1e-04","0.7405856","0.6437614"
"3","1.2","0.2","1.5","0","1e-04","0.002259438","0.02441571"
"4","1.2","0.2","1.5","0","1e-04","1.259377","0.9596688"
"5","1.2","0.2","1.5","0","1e-04","1.138852","0.7854553"
"1","1.2","0.3","1.5","0","1e-04","0.7915386","0.6852498"
"2","1.2","0.3","1.5","0","1e-04","1.013113","1.05726"
"3","1.2","0.3","1.5","0","1e-04","0.6744978","0.872918"
"4","1.2","0.3","1.5","0","1e-04","0.2758479","0.5767191"
"5","1.2","0.3","1.5","0","1e-04","1.477809","0.7429647"
"1","1.2","0.4","1.5","0","1e-04","0.9604113","1.004456"
"2","1.2","0.4","1.5","0","1e-04","1.279267","1.076486"
"3","1.2","0.4","1.5","0","1e-04","0.27098","0.5372603"
"4","1.2","0.4","1.5","0","1e-04","0.2758479","0.5767191"
"5","1.2","0.4","1.5","0","1e-04","0.7701239","1.089792"
"1","1.2","0.5","1.5","0","1e-04","0.6184795","0.9018666"
"2","1.2","0.5","1.5","0","1e-04","1.586169","1.037418"
"3","1.2","0.5","1.5","0","1e-04","0.06053813","0.3307233"
"4","1.2","0.5","1.5","0","1e-04","1.21181","1.384554"
"5","1.2","0.5","1.5","0","1e-04","0.8062219","1.358621"
"1","1.2","0.1","2","0","1e-04","0.7641668","0.525849"
"2","1.2","0.1","2","0","1e-04","1.071326","0.7870533"
"3","1.2","0.1","2","0","1e-04","0.002991049","0.02856673"
"4","1.2","0.1","2","0","1e-04","1.661766","0.807914"
"5","1.2","0.1","2","0","1e-04","1.21807","0.752584"
"1","1.2","0.2","2","0","1e-04","0.2157586","0.3642209"
"2","1.2","0.2","2","0","1e-04","0.7405856","0.6437614"
"3","1.2","0.2","2","0","1e-04","0.002259438","0.02441571"
"4","1.2","0.2","2","0","1e-04","1.259377","0.9596688"
"5","1.2","0.2","2","0","1e-04","1.138852","0.7854553"
"1","1.2","0.3","2","0","1e-04","0.7915386","0.6852498"
"2","1.2","0.3","2","0","1e-04","1.013113","1.05726"
"3","1.2","0.3","2","0","1e-04","0.6744978","0.872918"
"4","1.2","0.3","2","0","1e-04","0.2758479","0.5767191"
"5","1.2","0.3","2","0","1e-04","1.477809","0.7429647"
"1","1.2","0.4","2","0","1e-04","0.9604113","1.004456"
"2","1.2","0.4","2","0","1e-04","1.279267","1.076486"
"3","1.2","0.4","2","0","1e-04","0.27098","0.5372603"
"4","1.2","0.4","2","0","1e-04","0.2758479","0.5767191"
"5","1.2","0.4","2","0","1e-04","0.7701239","1.089792"
"1","1.2","0.5","2","0","1e-04","0.6184795","0.9018666"
"2","1.2","0.5","2","0","1e-04","1.586169","1.037418"
"3","1.2","0.5","2","0","1e-04","0.06053813","0.3307233"
"4","1.2","0.5","2","0","1e-04","1.21181","1.384554"
"5","1.2","0.5","2","0","1e-04","0.8062219","1.358621"
"1","1.2","0.1","0","0.5","1e-04","0.7641603","0.525829"
"2","1.2","0.1","0","0.5","1e-04","1.071326","0.7870533"
"3","1.2","0.1","0","0.5","1e-04","0.002989754","0.02844964"
"4","1.2","0.1","0","0.5","1e-04","1.661766","0.807914"
"5","1.2","0.1","0","0.5","1e-04","1.21807","0.752584"
"1","1.2","0.2","0","0.5","1e-04","0.2157559","0.3641997"
"2","1.2","0.2","0","0.5","1e-04","0.7405843","0.6437654"
"3","1.2","0.2","0","0.5","1e-04","0.002255187","0.02438175"
"4","1.2","0.2","0","0.5","1e-04","1.259377","0.9596688"
"5","1.2","0.2","0","0.5","1e-04","1.138852","0.7854553"
"1","1.2","0.3","0","0.5","1e-04","0.7915251","0.6852527"
"2","1.2","0.3","0","0.5","1e-04","1.013113","1.05726"
"3","1.2","0.3","0","0.5","1e-04","0.6745018","0.8729115"
"4","1.2","0.3","0","0.5","1e-04","0.2758468","0.5767075"
"5","1.2","0.3","0","0.5","1e-04","1.477813","0.7429577"
"1","1.2","0.4","0","0.5","1e-04","0.9604113","1.004456"
"2","1.2","0.4","0","0.5","1e-04","1.279267","1.076486"
"3","1.2","0.4","0","0.5","1e-04","0.2709781","0.5372509"
"4","1.2","0.4","0","0.5","1e-04","0.2758493","0.5767192"
"5","1.2","0.4","0","0.5","1e-04","0.7701239","1.089792"
"1","1.2","0.5","0","0.5","1e-04","0.6184795","0.9018666"
"2","1.2","0.5","0","0.5","1e-04","1.586169","1.037418"
"3","1.2","0.5","0","0.5","1e-04","0.06050804","0.3307091"
"4","1.2","0.5","0","0.5","1e-04","0.5782034","1.139481"
"5","1.2","0.5","0","0.5","1e-04","0.8062219","1.358621"
"1","1.2","0.1","0.5","0.5","1e-04","0.7641603","0.525829"
"2","1.2","0.1","0.5","0.5","1e-04","1.071326","0.7870533"
"3","1.2","0.1","0.5","0.5","1e-04","0.002989754","0.02844964"
"4","1.2","0.1","0.5","0.5","1e-04","1.661766","0.807914"
"5","1.2","0.1","0.5","0.5","1e-04","1.21807","0.752584"
"1","1.2","0.2","0.5","0.5","1e-04","0.2157559","0.3641997"
"2","1.2","0.2","0.5","0.5","1e-04","0.7405843","0.6437654"
"3","1.2","0.2","0.5","0.5","1e-04","0.002255187","0.02438175"
"4","1.2","0.2","0.5","0.5","1e-04","1.259377","0.9596688"
"5","1.2","0.2","0.5","0.5","1e-04","1.138852","0.7854553"
"1","1.2","0.3","0.5","0.5","1e-04","0.7915251","0.6852527"
"2","1.2","0.3","0.5","0.5","1e-04","1.013113","1.05726"
"3","1.2","0.3","0.5","0.5","1e-04","0.6745018","0.8729115"
"4","1.2","0.3","0.5","0.5","1e-04","0.2758468","0.5767075"
"5","1.2","0.3","0.5","0.5","1e-04","1.477813","0.7429577"
"1","1.2","0.4","0.5","0.5","1e-04","0.9604113","1.004456"
"2","1.2","0.4","0.5","0.5","1e-04","1.279267","1.076486"
"3","1.2","0.4","0.5","0.5","1e-04","0.2709781","0.5372509"
"4","1.2","0.4","0.5","0.5","1e-04","0.2758493","0.5767192"
"5","1.2","0.4","0.5","0.5","1e-04","0.7701239","1.089792"
"1","1.2","0.5","0.5","0.5","1e-04","0.6184795","0.9018666"
"2","1.2","0.5","0.5","0.5","1e-04","1.586169","1.037418"
"3","1.2","0.5","0.5","0.5","1e-04","0.06050804","0.3307091"
"4","1.2","0.5","0.5","0.5","1e-04","0.5782034","1.139481"
"5","1.2","0.5","0.5","0.5","1e-04","0.8062219","1.358621"
"1","1.2","0.1","1","0.5","1e-04","0.7641603","0.525829"
"2","1.2","0.1","1","0.5","1e-04","1.071326","0.7870533"
"3","1.2","0.1","1","0.5","1e-04","0.002989754","0.02844964"
"4","1.2","0.1","1","0.5","1e-04","1.661766","0.807914"
"5","1.2","0.1","1","0.5","1e-04","1.21807","0.752584"
"1","1.2","0.2","1","0.5","1e-04","0.2157559","0.3641997"
"2","1.2","0.2","1","0.5","1e-04","0.7405843","0.6437654"
"3","1.2","0.2","1","0.5","1e-04","0.002255187","0.02438175"
"4","1.2","0.2","1","0.5","1e-04","1.259377","0.9596688"
"5","1.2","0.2","1","0.5","1e-04","1.138852","0.7854553"
"1","1.2","0.3","1","0.5","1e-04","0.7915251","0.6852527"
"2","1.2","0.3","1","0.5","1e-04","1.013113","1.05726"
"3","1.2","0.3","1","0.5","1e-04","0.6745017","0.8729115"
"4","1.2","0.3","1","0.5","1e-04","0.2758468","0.5767075"
"5","1.2","0.3","1","0.5","1e-04","1.477813","0.7429577"
"1","1.2","0.4","1","0.5","1e-04","0.9604113","1.004456"
"2","1.2","0.4","1","0.5","1e-04","1.279267","1.076486"
"3","1.2","0.4","1","0.5","1e-04","0.2709771","0.5372476"
"4","1.2","0.4","1","0.5","1e-04","0.2758493","0.5767192"
"5","1.2","0.4","1","0.5","1e-04","0.7701239","1.089792"
"1","1.2","0.5","1","0.5","1e-04","0.6184795","0.9018666"
"2","1.2","0.5","1","0.5","1e-04","1.586169","1.037418"
"3","1.2","0.5","1","0.5","1e-04","0.06050804","0.3307091"
"4","1.2","0.5","1","0.5","1e-04","1.21181","1.384554"
"5","1.2","0.5","1","0.5","1e-04","0.8062219","1.358621"
"1","1.2","0.1","1.5","0.5","1e-04","0.7641603","0.525829"
"2","1.2","0.1","1.5","0.5","1e-04","1.071326","0.7870533"
"3","1.2","0.1","1.5","0.5","1e-04","0.002989754","0.02844964"
"4","1.2","0.1","1.5","0.5","1e-04","1.661766","0.807914"
"5","1.2","0.1","1.5","0.5","1e-04","1.21807","0.752584"
"1","1.2","0.2","1.5","0.5","1e-04","0.2157559","0.3641997"
"2","1.2","0.2","1.5","0.5","1e-04","0.7405843","0.6437654"
"3","1.2","0.2","1.5","0.5","1e-04","0.002255187","0.02438175"
"4","1.2","0.2","1.5","0.5","1e-04","1.259377","0.9596688"
"5","1.2","0.2","1.5","0.5","1e-04","1.138852","0.7854553"
"1","1.2","0.3","1.5","0.5","1e-04","0.7915251","0.6852527"
"2","1.2","0.3","1.5","0.5","1e-04","1.013113","1.05726"
"3","1.2","0.3","1.5","0.5","1e-04","0.6745019","0.8729115"
"4","1.2","0.3","1.5","0.5","1e-04","0.2758468","0.5767075"
"5","1.2","0.3","1.5","0.5","1e-04","1.477815","0.7429522"
"1","1.2","0.4","1.5","0.5","1e-04","0.9604113","1.004456"
"2","1.2","0.4","1.5","0.5","1e-04","1.279267","1.076486"
"3","1.2","0.4","1.5","0.5","1e-04","0.2709771","0.5372476"
"4","1.2","0.4","1.5","0.5","1e-04","0.2758493","0.5767192"
"5","1.2","0.4","1.5","0.5","1e-04","0.7701239","1.089792"
"1","1.2","0.5","1.5","0.5","1e-04","0.6184795","0.9018666"
"2","1.2","0.5","1.5","0.5","1e-04","1.586169","1.037418"
"3","1.2","0.5","1.5","0.5","1e-04","0.06050804","0.3307091"
"4","1.2","0.5","1.5","0.5","1e-04","1.21181","1.384554"
"5","1.2","0.5","1.5","0.5","1e-04","0.8062219","1.358621"
"1","1.2","0.1","2","0.5","1e-04","0.7641647","0.5258484"
"2","1.2","0.1","2","0.5","1e-04","1.071326","0.7870533"
"3","1.2","0.1","2","0.5","1e-04","0.002989562","0.02844782"
"4","1.2","0.1","2","0.5","1e-04","1.661766","0.807914"
"5","1.2","0.1","2","0.5","1e-04","1.21807","0.752584"
"1","1.2","0.2","2","0.5","1e-04","0.2157559","0.3641997"
"2","1.2","0.2","2","0.5","1e-04","0.7405843","0.6437654"
"3","1.2","0.2","2","0.5","1e-04","0.00225578","0.02438513"
"4","1.2","0.2","2","0.5","1e-04","1.259377","0.9596688"
"5","1.2","0.2","2","0.5","1e-04","1.138852","0.7854553"
"1","1.2","0.3","2","0.5","1e-04","0.7915251","0.6852527"
"2","1.2","0.3","2","0.5","1e-04","1.013113","1.05726"
"3","1.2","0.3","2","0.5","1e-04","0.6745019","0.8729115"
"4","1.2","0.3","2","0.5","1e-04","0.2758468","0.5767075"
"5","1.2","0.3","2","0.5","1e-04","1.477814","0.742954"
"1","1.2","0.4","2","0.5","1e-04","0.9604113","1.004456"
"2","1.2","0.4","2","0.5","1e-04","1.279267","1.076486"
"3","1.2","0.4","2","0.5","1e-04","0.2709771","0.5372476"
"4","1.2","0.4","2","0.5","1e-04","0.2758493","0.5767192"
