dt_seed,q_c_seed,aa,tau,l1,l2,l3,cdist,ci_prob_mean,mse,sc
999,999,999,999,999,999,999,1.154989496780159,999,999,0.7214285714285714
999,999,999,999,999,999,999,1.338037370889288,999,999,0.7142857142857143
999,999,999,999,999,999,999,1.4891972630744883,999,999,0.6642857142857143
999,999,999,999,999,999,999,0.24351306360860955,999,999,0.7401960784313726
999,999,999,999,999,999,999,0.24351230949357908,999,999,0.7401960784313726
9,1,1.2,0.5,0.3,0.1,2,1.2253369285880378,0.7249132745879049,0.9038227749558616,0.7093837535014006
9,2,1.2,0.5,0.3,0.1,2,1.1996342232140724,0.8217312014157985,0.8709461551913759,0.7177871148459384
9,3,1.2,0.5,0.3,0.1,2,1.2684248110081926,0.8062172212816094,0.5923869515084413,0.7858543417366947
9,4,1.2,0.5,0.3,0.1,2,0.008601882986024592,0.7394364729063848,0.1948001728010598,0.8316526610644258
9,5,1.2,0.5,0.3,0.1,2,0.03200325458361097,0.7362012538608846,0.2929592079082093,0.8217086834733893
