"V1","V2","V3","V4","V5"
1,0.1,1.2,0,0.764166844292382
1,0.1,1.2,0.5,0.542326120538225
1,0.1,1.2,1,0.424241042447715
1,0.1,1.2,1.5,0.443224609619274
1,0.1,1.2,2,0.457743009536005
1,0.1,1.4,0,1.04697300181933
1,0.1,1.4,0.5,0.516198770077761
1,0.1,1.4,1,0.424300771240381
1,0.1,1.4,1.5,0.445382090471804
1,0.1,1.4,2,0.458558014371879
1,0.1,1.6,0,0.313801220184123
1,0.1,1.6,0.5,0.531818284537434
1,0.1,1.6,1,0.421699326326604
1,0.1,1.6,1.5,0.446151696949344
1,0.1,1.6,2,0.460111688945723
1,0.1,1.8,0,1.015469421657
1,0.1,1.8,0.5,0.498501571456596
1,0.1,1.8,1,0.427024882280099
1,0.1,1.8,1.5,0.444335599696322
1,0.1,1.8,2,0.460634028314771
1,0.1,2,0,0.93990421594091
1,0.1,2,0.5,0.499808864143581
1,0.1,2,1,0.431315016811035
1,0.1,2,1.5,0.446405268269712
1,0.1,2,2,0.460886664638147
1,0.1,2.2,0,0.00225943803049428
1,0.1,2.2,0.5,0.503053117374609
1,0.1,2.2,1,0.438317187443569
1,0.1,2.2,1.5,0.449870854260012
1,0.1,2.2,2,0.463182456923952
1,0.1,2.4,0,0.21575863423888
1,0.1,2.4,0.5,0.503109597855454
1,0.1,2.4,1,0.48416908224228
1,0.1,2.4,1.5,0.451217379515874
1,0.1,2.4,2,0.47805989637087
1,0.1,2.6,0,0.260261200590613
1,0.1,2.6,0.5,0.506105201247567
1,0.1,2.6,1,0.486538815575482
1,0.1,2.6,1.5,0.453685839867685
1,0.1,2.6,2,0.476609146901498
1,0.1,2.8,0,0.356639019801144
1,0.1,2.8,0.5,0.509001583933965
1,0.1,2.8,1,0.489633399799484
1,0.1,2.8,1.5,0.470609103013155
1,0.1,2.8,2,0.47762531282966
1,0.1,3,0,0.356639783892045
1,0.1,3,0.5,0.510964517764329
1,0.1,3,1,0.493075676327939
1,0.1,3,1.5,0.483746084778331
1,0.1,3,2,0.480321040217946
1,0.15,1.2,0,1.015469421657
1,0.15,1.2,0.5,0.483932236481446
1,0.15,1.2,1,0.466279217518929
1,0.15,1.2,1.5,0.462116012088246
1,0.15,1.2,2,0.45861199447738
1,0.15,1.4,0,0.793897575655107
1,0.15,1.4,0.5,0.484339589713189
1,0.15,1.4,1,0.465585784016656
1,0.15,1.4,1.5,0.469654951534441
1,0.15,1.4,2,0.484090343827504
1,0.15,1.6,0,0.21575863423888
1,0.15,1.6,0.5,0.498584973882477
1,0.15,1.6,1,0.462872764764334
1,0.15,1.6,1.5,0.476286123034128
1,0.15,1.6,2,0.41761737469403
1,0.15,1.8,0,0.35663903663622
1,0.15,1.8,0.5,0.499622557776899
1,0.15,1.8,1,0.484092505732434
1,0.15,1.8,1.5,0.48549755738171
1,0.15,1.8,2,0.450510498590895
1,0.15,2,0,0.356639783629327
1,0.15,2,0.5,0.502100695872278
1,0.15,2,1,0.49746505982664
1,0.15,2,1.5,0.521401216657671
1,0.15,2,2,0.511192150461751
1,0.15,2.2,0,0.580519799130739
1,0.15,2.2,0.5,0.504965275765421
1,0.15,2.2,1,0.537425593964856
1,0.15,2.2,1.5,0.54004274436864
1,0.15,2.2,2,0.513448290230205
1,0.15,2.4,0,0.791538568306381
1,0.15,2.4,0.5,0.508187454047112
1,0.15,2.4,1,0.545155028914491
1,0.15,2.4,1.5,0.584942560918378
1,0.15,2.4,2,0.513688469872992
1,0.15,2.6,0,0.223215047853428
1,0.15,2.6,0.5,0.510515756640653
1,0.15,2.6,1,0.582496729099123
1,0.15,2.6,1.5,0.585333032534936
1,0.15,2.6,2,0.515787668629726
1,0.15,2.8,0,0.255794169781394
1,0.15,2.8,0.5,0.513466561190213
1,0.15,2.8,1,0.582718555936279
1,0.15,2.8,1.5,0.58562565708469
1,0.15,2.8,2,0.532517629051686
1,0.15,3,0,0.255794169781383
1,0.15,3,0.5,0.517303937664189
1,0.15,3,1,0.582888351939001
1,0.15,3,1.5,0.585927401241802
1,0.15,3,2,0.535483857551825
1,0.2,1.2,0,0.21575863423888
1,0.2,1.2,0.5,0.583304002334334
