"LymphocytesPN","StromaPN","TumorPN","LymphocytesSN","StromaSN","TumorSN"
0,8.282675048,10.98904519,0,0.127956638,0.872043362
0,0.113270339,4.199122613,0,0.000804813,0.999195187
0,15.83123184,15.65565173,0,0.501882769,0.498117231
0.937756732,8.331914238,12.15883851,0.013586364,0.138396124,0.848017512
2.700651695,17.52074352,14.3404266,0.090892334,0.660590843,0.248516824
1.552149523,19.62237001,16.7862218,0.019879346,0.619242367,0.360878286
0,13.4024017,13.10312136,0,0.609554953,0.390445047
0.306747792,0.482922119,4.68424687,0.004280174,0.00338272,0.992337106
1.498741293,1.364207321,7.418936243,0.014893194,0.013761812,0.971344995
0.922869669,6.804409313,11.27742585,0.008114035,0.085448231,0.906437734
2.778622987,0.317328613,6.716698707,0.040089765,0.001716843,0.958193392
0.250793647,7.148878592,10.21037047,0.003229579,0.136716446,0.860053974
0.878022706,12.0454208,15.12051217,0.011055245,0.231006707,0.757938048
2.110545205,3.723454969,11.22929834,0.027982452,0.121426772,0.850590776
4.321612803,0.476510686,7.914231564,0.050128767,0.00306197,0.946809263
2.887969087,3.302325583,10.47411879,0.036346191,0.027668132,0.935985677
0.055517626,10.87962479,13.3386764,0.000237671,0.143870461,0.855891868
0,0.309309719,11.27312179,0,0.001748497,0.998251503
1.374592285,5.746034597,10.03134876,0.041944438,0.110252784,0.847802778
0.098372781,17.39331398,19.68649635,0.000723357,0.453389003,0.54588764
0.742232062,6.437597516,10.82129411,0.011630996,0.105524039,0.882844965
0.252695485,0.996240007,5.053330626,0.003291764,0.006578478,0.990129758
0,8.0190182,12.3675439,0,0.105535872,0.894464128
1.899772866,12.73668202,14.11664305,0.067480025,0.287400874,0.645119101
6.407542472,9.641427396,16.80975713,0.118179241,0.249052123,0.632768636
0.06206184,11.81031281,14.49630788,0.000362254,0.169085979,0.830551767
0.313413412,10.92529632,13.95231731,0.007424738,0.174848112,0.81772715
0.522847315,13.66129725,14.01971383,0.011044081,0.27824912,0.710706799
0.011902193,11.59010232,13.61604195,4.62e-05,0.215104,0.784849842
0.321322425,8.955528646,12.60073945,0.003146071,0.184956442,0.811897487
0.2984864,0.023547198,4.25714053,0.002338325,0.000205315,0.99745636
0.161064673,4.289472107,8.921988896,0.002670463,0.054176288,0.943153249
1.32226595,5.788195246,9.998958057,0.021698293,0.055637411,0.922664295
0,10.88149511,12.57671987,0,0.239380681,0.760619319
0,12.47922596,8.159923045,0,0.852904089,0.147095911
0.190201193,1.495905641,9.307194648,0.00183887,0.015719798,0.982441332
1.78638779,15.87107559,15.9267902,0.03336603,0.494441205,0.472192765
0.216592331,3.507493603,7.418222628,0.002192739,0.067666467,0.930140793
0.166475865,6.933762799,9.661442107,0.001194645,0.150438124,0.84836723
13.03028431,0.695361321,18.97625312,0.25883197,0.020331617,0.720836413
0.41402473,6.48230462,10.16021753,0.006206094,0.149626349,0.844167557
1.59547151,1.894590795,7.566329137,0.023143415,0.020635402,0.956221183
0.760633797,1.67598778,6.160325523,0.011574803,0.025344715,0.963080482
2.353901853,0.191099914,6.540683047,0.038908008,0.001215757,0.959876235
0.70437039,12.55261304,16.75767406,0.015843629,0.247353431,0.73680294
3.60480511,2.796594923,9.562003654,0.059825935,0.048591474,0.891582591
0.645875851,8.705963018,11.6662839,0.010411679,0.181971492,0.807616829
0.009111665,9.395265105,14.86843421,1.75e-05,0.23598997,0.763992549
0,16.64105171,18.9382056,0,0.488650863,0.511349137
0,14.79271534,18.10731213,0,0.247895349,0.752104651
